                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     78,                0.83553,                0.81466,                 1.0945,                 0.2702,                 0.3625,                0.18705,                0.10019,                 1.5421,                 3.6907,                 1.3428,             0.00039625,             0.00039625,             0.00039625
                     79,                 0.8141,                0.64119,                 1.2155,                0.30696,                0.39022,                0.20402,                 0.1119,                 1.5284,                 3.5903,                 1.3307,             0.00037974,             0.00037974,             0.00037974
                     80,                0.64528,                0.40496,                0.92824,                0.30298,                0.38616,                0.22408,                0.12036,                 1.5416,                 3.5685,                 1.3289,             0.00036324,             0.00036324,             0.00036324
                     81,                0.61227,                0.43183,                0.92722,                0.33219,                0.42369,                0.24494,                0.13821,                 1.5527,                 3.4737,                 1.3284,             0.00034674,             0.00034674,             0.00034674
                     82,                 0.5989,                0.38134,                 0.9093,                0.31476,                  0.425,                0.26163,                0.14628,                 1.5524,                 3.4565,                 1.3344,             0.00033023,             0.00033023,             0.00033023
                     83,                0.55615,                0.38998,                0.92912,                 0.2197,                 0.8125,                0.28211,                0.15357,                 1.5499,                 3.4346,                 1.3273,             0.00031373,             0.00031373,             0.00031373
                     84,                0.59827,                0.39926,                0.91615,                0.28852,                0.58005,                0.28034,                 0.1588,                 1.5309,                 3.3596,                 1.3453,             0.00029723,             0.00029723,             0.00029723
                     85,                0.59109,                0.42353,                0.95888,                0.28688,                0.38533,                0.28855,                0.16023,                 1.5333,                 3.2896,                 1.3594,             0.00028072,             0.00028072,             0.00028072
                     86,                0.55325,                0.42345,                0.89312,                0.21682,                 0.7125,                0.27879,                0.15882,                 1.5394,                 3.3058,                  1.359,             0.00026422,             0.00026422,             0.00026422
                     87,                0.53321,                0.38506,                0.92848,                0.24044,                 0.7125,                0.27052,                0.15672,                 1.5534,                 3.3948,                 1.3669,             0.00024772,             0.00024772,             0.00024772
                     88,                0.51473,                0.36819,                0.91371,                 0.2254,                  0.625,                0.24625,                0.14913,                 1.5571,                 3.4868,                 1.3782,             0.00023121,             0.00023121,             0.00023121
                     89,                 0.6082,                0.39155,                 1.0327,                0.23535,                  0.625,                0.24547,                0.14801,                  1.559,                 3.6185,                 1.3773,             0.00021471,             0.00021471,             0.00021471
                     90,                0.55789,                0.36645,                0.97441,                0.23968,                    0.6,                0.24208,                0.14676,                 1.5584,                  3.704,                 1.3797,             0.00019821,             0.00019821,             0.00019821
                     91,                0.49045,                0.32397,                0.88902,                0.23872,                  0.625,                0.24909,                 0.1486,                 1.5606,                 3.6962,                 1.4096,              0.0001817,              0.0001817,              0.0001817
                     92,                0.42776,                0.30573,                0.85089,                0.22845,                   0.65,                0.25187,                 0.1436,                 1.5641,                 3.6484,                 1.3995,              0.0001652,              0.0001652,              0.0001652
                     93,                0.92026,                0.73629,                0.87195,                 0.2116,                0.68125,                0.24062,                0.13457,                 1.5944,                 3.6144,                   1.41,              0.0001487,              0.0001487,              0.0001487
                     94,                0.45368,                0.30555,                0.84557,                0.19161,                0.68125,                 0.2318,                0.13003,                 1.6277,                 3.6488,                 1.4176,             0.00013219,             0.00013219,             0.00013219
                     95,                 0.4206,                0.30515,                0.85174,                 0.2895,                0.35546,                0.22894,                 0.1268,                 1.6561,                 3.6464,                 1.4415,             0.00011569,             0.00011569,             0.00011569
                     96,                0.44867,                0.30621,                0.89732,                0.29388,                  0.375,                0.22082,                0.12379,                 1.6683,                 3.5946,                 1.4505,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     97,                0.57049,                0.45029,                0.87431,                0.28793,                0.35338,                0.24106,                0.13542,                 1.6829,                 3.6207,                 1.4633,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     98,                 0.4049,                0.29974,                 0.8033,                0.27674,                 0.3587,                0.23912,                0.13258,                 1.7018,                 3.6606,                  1.482,              6.618e-05,              6.618e-05,              6.618e-05
                     99,                0.47168,                0.31905,                  0.851,                0.27452,                0.36473,                0.24121,                0.13525,                 1.7045,                 3.6493,                  1.493,             4.9677e-05,             4.9677e-05,             4.9677e-05
                    100,                0.52446,                0.37666,                0.92512,                0.28849,                0.38125,                0.23841,                0.13351,                 1.6971,                 3.6563,                 1.4904,             3.3173e-05,             3.3173e-05,             3.3173e-05
